"position_id","inst_id","title","responsibilities","start_date","end_date"
"1","1","Crew Member","Worked Front/Back of resturaunt.","2019-12-01","2021-6-1"
"2","2","Crew Member/Mechanic Assistant","Worked in collaboration with other crew members and mechanic to obtain company goals.","2018-06-01","2019-09-01"
