"inst_id","type","name","department","address","city","state","zip"
"1","Food","Freddies Frozen Custard & Steakburgers","Crew Member","6006 28th St SE","Grand Rapids","Michigan","49546"
"2","Maintenance","Egypt Creek Landscaping & Snowplowing","Crew/Mechanic Assistant","932 Lamberton St NE","Grand Rapids","Michigan","49546"
